Identifier,rotate
DSCN0333.JPG,90
DSCN0334.JPG,0
DSCN0335.JPG,90
DSCN0336.JPG,90
DSCN0337.JPG,0
DSCN0338.JPG,90
DSCN0339.JPG,90
DSCN0340.JPG,90
DSCN0341.JPG,0
DSCN0342.JPG,90
DSCN0343.JPG,0
DSCN0344.JPG,90
DSCN0345.JPG,0
DSCN0346.JPG,90
DSCN0347.JPG,0
DSCN0348.JPG,90
DSCN0349.JPG,270
DSCN0350.JPG,90
DSCN0353.JPG,90
DSCN0354.JPG,90
DSCN0355.JPG,90
DSCN0356.JPG,0
DSCN0357.JPG,90
DSCN0358.JPG,0
DSCN0359.JPG,0
DSCN0360.JPG,90
DSCN0361.JPG,90
DSCN0362.JPG,90
DSCN0363.JPG,0
DSCN0364.JPG,270
DSCN0365.JPG,0
DSCN0366.JPG,270
DSCN0367.JPG,90
DSCN0368.JPG,270
DSCN0369.JPG,0
DSCN0370.JPG,270
DSCN0371.JPG,90
DSCN0372.JPG,90
DSCN0373.JPG,90
DSCN0374.JPG,0
DSCN0375.JPG,90
DSCN0376.JPG,270
DSCN0377.JPG,90
DSCN0378.JPG,270
DSCN0379.JPG,90
DSCN0380.JPG,90
DSCN0381.JPG,90
DSCN0382.JPG,90
DSCN0383.JPG,90
DSCN0384.JPG,90
DSCN0385.JPG,90
DSCN0386.JPG,90
DSCN0387.JPG,90
DSCN0388.JPG,90
DSCN0389.JPG,90
DSCN0390.JPG,0
DSCN0391.JPG,90
DSCN0393.JPG,0
DSCN0394.JPG,0
DSCN0395.JPG,90
DSCN0396.JPG,90
DSCN0397.JPG,90
DSCN0398.JPG,90
DSCN0399.JPG,90
DSCN0400.JPG,90
DSCN0401.JPG,90
DSCN0402.JPG,90
DSCN0403.JPG,90
DSCN0404.JPG,0
DSCN0405.JPG,270
DSCN0406.JPG,0
DSCN0407.JPG,90
DSCN0408.JPG,0
DSCN0409.JPG,90
DSCN0410.JPG,270
DSCN0411.JPG,90
DSCN0412.JPG,90
DSCN0413.JPG,90
DSCN0414.JPG,90
DSCN0415.JPG,90
DSCN0416.JPG,90
DSCN0417.JPG,90
DSCN0418.JPG,90
DSCN0419.JPG,90
DSCN0420.JPG,270
DSCN0421.JPG,90
DSCN8970.JPG,0
DSCN8971.JPG,0
DSCN8972.JPG,0
DSCN8973.JPG,90
DSCN8974.JPG,270
DSCN8975.JPG,90
DSCN8976.JPG,90
DSCN8977.JPG,0
DSCN8978.JPG,90
DSCN8979.JPG,90
DSCN8980.JPG,0
DSCN8981.JPG,90
DSCN8982.JPG,270
DSCN8983.JPG,90
DSCN8984.JPG,0
DSCN8985.JPG,270
DSCN8986.JPG,90
DSCN8987.JPG,270
DSCN8988.JPG,90
DSCN8989.JPG,270
DSCN8990.JPG,90
DSCN8991.JPG,270
DSCN8992.JPG,90
DSCN8993.JPG,0
DSCN8994.JPG,90
DSCN8995.JPG,270
DSCN8996.JPG,90
DSCN8997.JPG,90
DSCN8998.JPG,90
DSCN8999.JPG,0
DSCN9000.JPG,90
DSCN9001.JPG,90
DSCN9002.JPG,90
DSCN9003.JPG,90
DSCN9004.JPG,90
DSCN9005.JPG,90
DSCN9007.JPG,270
DSCN9008.JPG,90
DSCN9009.JPG,0
DSCN9010.JPG,90
DSCN9011.JPG,0
DSCN9012.JPG,90
DSCN9013.JPG,0
DSCN9014.JPG,90
DSCN9015.JPG,90
DSCN9016.JPG,0
DSCN9017.JPG,90
DSCN9018.JPG,0
DSCN9019.JPG,90
DSCN9020.JPG,270
DSCN9021.JPG,90
DSCN9022.JPG,90
DSCN9023.JPG,0
